<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 2024050900 to 2024051223</B><hr><pre>Selected parameters:
 1 Field magnitude average, nT
 2 BX, nT (GSE, GSM)
 3 BY, nT (GSE)
 4 BZ, nT (GSE)
 5 BZ, nT (GSM)
 6 Speed, km/s
 7 Proton Density, n/cc
 8 Proton Temperature, K
 9 AE-index, nT
10 SYM/H, nT

YYYY DOY HR MN      1       2       3       4       5       6      7        8     9    10 
2024 130  0  0    2.42   -1.46    1.47    0.92    1.45   458.3   2.82  101586. 99999     5
2024 130  0  1    2.41   -1.75    1.28    0.62    1.10   458.5   3.03  111521. 99999     5
2024 130  0  2    2.07   -2.01    0.46    0.00    0.19   458.5   3.03  111501. 99999     6
2024 130  0  3    2.36   -1.90    0.96    0.43    0.79 99999.9 999.99 9999999. 99999     6
2024 130  0  4    2.44   -1.92    0.95    0.58    0.93 99999.9 999.99 9999999. 99999     5
2024 130  0  5    2.10   -2.09    0.17    0.13    0.19 99999.9 999.99 9999999. 99999     5
2024 130  0  6    2.06   -1.96    0.25    0.55    0.60   455.4   3.31   86582. 99999     5
2024 130  0  7    1.96   -1.81    0.11    0.71    0.69   455.4   3.31   86582. 99999     4
2024 130  0  8    1.80   -1.70    0.12    0.47    0.48   459.1   3.37   77973. 99999     4
2024 130  0  9    1.55   -1.47    0.36    0.29    0.41   459.1   3.37   77973. 99999     5
2024 130  0 10    1.61   -1.55    0.42    0.12    0.28 99999.9 999.99 9999999. 99999     5
2024 130  0 11    1.62   -1.59    0.27    0.03    0.14 99999.9 999.99 9999999. 99999     5
2024 130  0 12    1.66   -1.64    0.22    0.12    0.20   458.3   2.98  135127. 99999     5
2024 130  0 13    1.62   -1.55    0.36   -0.15    0.01   458.3   2.98  135127. 99999     5
2024 130  0 14    1.61   -1.57    0.17   -0.27   -0.17   459.8   2.68  114865. 99999     5
2024 130  0 15    1.58   -1.53    0.26   -0.24   -0.11   460.1   2.62  111189. 99999     4
2024 130  0 16    1.59   -1.57    0.14   -0.18   -0.11 99999.9 999.99 9999999. 99999     4
2024 130  0 17    1.58   -1.53    0.18   -0.32   -0.22 99999.9 999.99 9999999. 99999     4
2024 130  0 18    1.60   -1.51    0.19   -0.49   -0.37 99999.9 999.99 9999999. 99999     4
2024 130  0 19    1.59   -1.43    0.13   -0.62   -0.51   458.2   2.91  131154. 99999     4
2024 130  0 20    1.77   -1.49   -0.41   -0.62   -0.73   458.2   2.91  131154. 99999     4
2024 130  0 21    1.69   -0.77   -1.30   -0.69   -1.17   458.2   2.91  131154. 99999     4
2024 130  0 22    1.65   -0.97   -0.75   -0.71   -0.96 99999.9 999.99 9999999. 99999     4
2024 130  0 23    2.01   -1.56    0.91   -0.53   -0.10   457.8   2.80  118359. 99999     4
2024 130  0 24    2.52   -1.46    2.00    0.06    0.88   459.2   2.94  100590. 99999     4
2024 130  0 25    2.47   -1.29    2.08    0.02    0.88   461.0   2.90   90104. 99999     4
2024 130  0 26    2.46   -1.26    2.00    0.18    0.99   462.5   2.95   95249. 99999     4
2024 130  0 27    2.55   -1.36    2.10   -0.21    0.68   463.2   2.85   85919. 99999     5
2024 130  0 28    2.54   -1.37    2.08   -0.30    0.59   459.7   2.73   79785. 99999     5
2024 130  0 29    2.53   -1.19    2.17   -0.26    0.66   459.9   2.73   80011. 99999     4
2024 130  0 30    2.56   -1.32    2.17    0.03    0.92   459.7   2.75   87570. 99999     4
2024 130  0 31    2.49   -1.28    2.07   -0.06    0.80   458.7   2.85   96791. 99999     4
